Frequency (Hz),Strain Energy (J)
100.0,294.4072570800781
101.14959716796875,294.41851806640625
102.31241607666016,294.4300231933594
103.48860168457031,294.4418029785156
104.67830657958984,294.4538879394531
105.8816909790039,294.4662170410156
107.09890747070312,294.4788513183594
108.33011627197266,294.49176025390625
109.57547760009766,294.5049743652344
110.83515930175781,294.51849365234375
112.10931396484375,294.5323486328125
113.39812469482422,294.5465087890625
114.70175170898438,294.5610046386719
116.0203628540039,294.5758056640625
117.35413360595703,294.5909729003906
118.70323944091797,294.60650634765625
120.0678482055664,294.6224060058594
121.44815063476562,294.6386413574219
122.84432220458984,294.6552734375
124.25653839111328,294.6722717285156
125.68498992919922,294.689697265625
127.12986755371094,294.70751953125
128.5913543701172,294.7257385253906
130.06964111328125,294.744384765625
131.56491088867188,294.76348876953125
133.077392578125,294.78302001953125
134.6072540283203,294.802978515625
136.15469360351562,294.82342529296875
137.7199249267578,294.8443603515625
139.30316162109375,294.86578369140625
140.9045867919922,294.8876647949219
142.52442932128906,294.91009521484375
144.1628875732422,294.93304443359375
145.82017517089844,294.9565124511719
147.4965362548828,294.98052978515625
149.19215393066406,295.0050964355469
150.9072723388672,295.0302429199219
152.64208984375,295.0559997558594
154.39686584472656,295.08233642578125
156.17181396484375,295.1092834472656
157.9671630859375,295.1368408203125
159.7831573486328,295.1650695800781
161.62002563476562,295.1939392089844
163.47801208496094,295.2234802246094
165.35736083984375,295.25372314453125
167.25830078125,295.28466796875
169.1811065673828,295.31634521484375
171.12600708007812,295.3487243652344
173.09327697753906,295.38189697265625
175.08316040039062,295.41583251953125
177.09591674804688,295.4505615234375
179.13180541992188,295.486083984375
181.1911163330078,295.5224609375
183.27407836914062,295.5596618652344
185.38099670410156,295.5977478027344
187.51214599609375,295.63671875
189.66778564453125,295.6766052246094
191.84820556640625,295.7174072265625
194.05369567871094,295.7591857910156
196.28453063964844,295.80194091796875
198.541015625,295.8456726074219
200.82345581054688,295.89044189453125
203.13211059570312,295.9362487792969
205.4673309326172,295.983154296875
207.82937622070312,296.0311279296875
210.2185821533203,296.08026123046875
212.63525390625,296.1305236816406
215.0797119140625,296.18194580078125
217.55227661132812,296.2345886230469
220.05325317382812,296.2884826660156
222.58297729492188,296.3436279296875
225.1417999267578,296.4000549316406
227.7300262451172,296.45782470703125
230.34800720214844,296.5169372558594
232.99609375,296.57745361328125
235.67462158203125,296.639404296875
238.38394165039062,296.7027893066406
241.12440490722656,296.7676696777344
243.8963623046875,296.8340759277344
246.7001953125,296.90203857421875
249.53627014160156,296.9715881347656
252.40493774414062,297.0428161621094
255.30657958984375,297.1156921386719
258.2415771484375,297.1903076171875
261.2103271484375,297.26666259765625
