Frequency (Hz),Strain Energy (J)
100.0,4327.873046875
101.14959716796875,4328.53564453125
102.31241607666016,4329.21337890625
103.48860168457031,4329.90673828125
104.67830657958984,4330.61669921875
105.8816909790039,4331.3427734375
107.09890747070312,4332.08642578125
108.33011627197266,4332.84716796875
109.57547760009766,4333.6259765625
110.83515930175781,4334.4228515625
112.10931396484375,4335.23828125
113.39812469482422,4336.0732421875
114.70175170898438,4336.927734375
116.0203628540039,4337.80224609375
117.35413360595703,4338.69677734375
118.70323944091797,4339.61279296875
120.0678482055664,4340.55029296875
121.44815063476562,4341.509765625
122.84432220458984,4342.49169921875
124.25653839111328,4343.4970703125
125.68498992919922,4344.52587890625
127.12986755371094,4345.5791015625
128.5913543701172,4346.65673828125
130.06964111328125,4347.759765625
131.56491088867188,4348.88916015625
133.077392578125,4350.044921875
134.6072540283203,4351.22802734375
136.15469360351562,4352.439453125
137.7199249267578,4353.6787109375
139.30316162109375,4354.94775390625
140.9045867919922,4356.24658203125
142.52442932128906,4357.57666015625
144.1628875732422,4358.9375
145.82017517089844,4360.3310546875
147.4965362548828,4361.75732421875
149.19215393066406,4363.21728515625
150.9072723388672,4364.71240234375
152.64208984375,4366.24267578125
154.39686584472656,4367.80908203125
156.17181396484375,4369.4130859375
157.9671630859375,4371.0546875
159.7831573486328,4372.73583984375
161.62002563476562,4374.45654296875
163.47801208496094,4376.21875
165.35736083984375,4378.02294921875
167.25830078125,4379.86962890625
169.1811065673828,4381.7607421875
171.12600708007812,4383.697265625
173.09327697753906,4385.6796875
175.08316040039062,4387.70947265625
177.09591674804688,4389.7880859375
179.13180541992188,4391.91650390625
181.1911163330078,4394.095703125
183.27407836914062,4396.32763671875
185.38099670410156,4398.61279296875
187.51214599609375,4400.953125
189.66778564453125,4403.349609375
191.84820556640625,4405.8037109375
194.05369567871094,4408.3173828125
196.28453063964844,4410.89111328125
198.541015625,4413.52734375
200.82345581054688,4416.2275390625
203.13211059570312,4418.99267578125
205.4673309326172,4421.8251953125
