Frequency (Hz),Strain Energy (J)
100.0,21986.423828125
101.14959716796875,21994.083984375
102.31241607666016,22001.927734375
103.48860168457031,22009.95703125
104.67830657958984,22018.17578125
105.8816909790039,22026.591796875
107.09890747070312,22035.20703125
108.33011627197266,22044.02734375
109.57547760009766,22053.05859375
110.83515930175781,22062.3046875
112.10931396484375,22071.76953125
113.39812469482422,22081.462890625
114.70175170898438,22091.38671875
116.0203628540039,22101.548828125
117.35413360595703,22111.953125
118.70323944091797,22122.60546875
120.0678482055664,22133.515625
121.44815063476562,22144.685546875
122.84432220458984,22156.125
124.25653839111328,22167.837890625
125.68498992919922,22179.833984375
127.12986755371094,22192.1171875
128.5913543701172,22204.697265625
130.06964111328125,22217.580078125
131.56491088867188,22230.7734375
133.077392578125,22244.287109375
134.6072540283203,22258.126953125
136.15469360351562,22272.30078125
137.7199249267578,22286.8203125
139.30316162109375,22301.689453125
140.9045867919922,22316.921875
142.52442932128906,22332.5234375
144.1628875732422,22348.505859375
145.82017517089844,22364.876953125
147.4965362548828,22381.6484375
149.19215393066406,22398.828125
150.9072723388672,22416.4296875
152.64208984375,22434.4609375
154.39686584472656,22452.935546875
156.17181396484375,22471.86328125
157.9671630859375,22491.2578125
159.7831573486328,22511.12890625
161.62002563476562,22531.490234375
163.47801208496094,22552.353515625
165.35736083984375,22573.734375
167.25830078125,22595.64453125
169.1811065673828,22618.099609375
171.12600708007812,22641.111328125
173.09327697753906,22664.6953125
175.08316040039062,22688.869140625
177.09591674804688,22713.646484375
179.13180541992188,22739.04296875
181.1911163330078,22765.078125
183.27407836914062,22791.765625
185.38099670410156,22819.125
187.51214599609375,22847.17578125
189.66778564453125,22875.93359375
191.84820556640625,22905.421875
194.05369567871094,22935.65625
196.28453063964844,22966.66015625
198.541015625,22998.453125
200.82345581054688,23031.05859375
203.13211059570312,23064.498046875
205.4673309326172,23098.796875
207.82937622070312,23133.9765625
210.2185821533203,23170.0625
212.63525390625,23207.08203125
215.0797119140625,23245.060546875
217.55227661132812,23284.025390625
220.05325317382812,23324.005859375
222.58297729492188,23365.029296875
225.1417999267578,23407.126953125
227.7300262451172,23450.33203125
230.34800720214844,23494.673828125
232.99609375,23540.1875
235.67462158203125,23586.90625
238.38394165039062,23634.869140625
241.12440490722656,23684.109375
243.8963623046875,23734.666015625
246.7001953125,23786.58203125
249.53627014160156,23839.89453125
252.40493774414062,23894.6484375
255.30657958984375,23950.888671875
258.2415771484375,24008.658203125
261.2103271484375,24068.0078125
264.21319580078125,24128.984375
267.2506103515625,24191.640625
270.3229064941406,24256.02734375
273.4305419921875,24322.203125
276.57391357421875,24390.22265625
279.7533874511719,24460.146484375
282.9694519042969,24532.037109375
286.22247314453125,24605.95703125
289.51287841796875,24681.97265625
292.84112548828125,24760.15625
296.2076110839844,24840.580078125
299.6128234863281,24923.31640625
303.05718994140625,25008.4453125
306.5411376953125,25096.048828125
310.06512451171875,25186.212890625
313.629638671875,25279.025390625
317.235107421875,25374.578125
320.8820495605469,25472.96875
324.5709228515625,25574.298828125
328.30218505859375,25678.673828125
332.07635498046875,25786.201171875
335.8938903808594,25897.0
339.7553405761719,26011.1875
343.6611633300781,26128.890625
347.61187744140625,26250.2421875
351.6080322265625,26375.37890625
355.6501159667969,26504.4453125
359.7386779785156,26637.595703125
363.8742370605469,26774.986328125
368.0573425292969,26916.78515625
372.28851318359375,27063.16796875
376.568359375,27214.318359375
380.8973693847656,27370.4296875
385.27618408203125,27531.70703125
389.705322265625,27698.36328125
394.18536376953125,27870.625
398.7169189453125,28048.73046875
403.3005676269531,28232.9296875
407.9369201660156,28423.48828125
412.6265563964844,28620.685546875
417.3701171875,28824.818359375
422.168212890625,29036.1953125
427.0214538574219,29255.1484375
431.9305114746094,29482.029296875
436.8959655761719,29717.208984375
441.91851806640625,29961.080078125
446.9988098144531,30214.05859375
452.13751220703125,30476.58984375
457.3352966308594,30749.146484375
462.59283447265625,31032.228515625
467.9107971191406,31326.37109375
473.2898864746094,31632.146484375
478.7308349609375,31950.162109375
484.2343444824219,32281.068359375
489.80108642578125,32625.560546875
495.4318542480469,32984.3828125
501.1273193359375,33358.33203125
506.8883056640625,33748.26171875
512.7154541015625,34155.09765625
518.6096801757812,34579.82421875
524.5715942382812,35023.5078125
530.60205078125,35487.2890625
536.701904296875,35972.4140625
542.871826171875,36480.21875
549.1126708984375,37012.15625
555.4252319335938,37569.7890625
561.8104248046875,38154.828125
568.2689819335938,38769.12890625
574.8018188476562,39414.70703125
581.4097290039062,40093.76953125
588.0936279296875,40808.71875
594.8543701171875,41562.19921875
601.6928100585938,42357.09375
608.60986328125,43196.5859375
615.6064453125,44084.16796875
622.6834716796875,45023.70703125
629.8418579101562,46019.47265625
637.08251953125,47076.1953125
644.4064331054688,48199.140625
651.8145141601562,49394.16796875
659.3077392578125,50667.82421875
666.8871459960938,52027.44140625
674.5537109375,53481.25390625
682.308349609375,55038.55078125
690.1522216796875,56709.81640625
698.086181640625,58506.95703125
706.1113891601562,60443.51953125
714.2288208007812,62534.9765625
722.4396362304688,64799.09375
730.7448120117188,67256.3203125
739.1454467773438,69930.328125
747.6426391601562,72848.6484375
756.237548828125,76043.4375
764.9312744140625,79552.4921875
773.7249145507812,83420.484375
782.6196899414062,87700.5234375
791.6166381835938,92456.1953125
800.7171020507812,97764.1875
809.922119140625,103717.65625
819.2329711914062,110430.796875
828.65087890625,118044.8359375
838.1770629882812,126736.1875
847.812744140625,136727.65625
857.5592041015625,148304.125
867.417724609375,161834.609375
877.3895874023438,177804.4375
887.4760131835938,196862.5
897.678466796875,219892.96875
907.9981689453125,248126.421875
918.4365234375,283318.125
928.994873046875,328043.65625
939.6746215820312,386209.875
950.4771118164062,463981.65625
961.40380859375,571562.9375
972.4561157226562,726869.1875
983.6354370117188,963799.25
994.9432983398438,1353119.625
1006.3811645507812,2063987.5
1017.9505615234375,3590416.25
1029.6529541015625,7945786.0
1041.4898681640625,31860822.0
1053.4627685546875,41993703424.0
1065.5733642578125,27379672.0
1077.8232421875,6883788.5
1090.2138671875,3030757.75
1102.7469482421875,1685943.0
1115.4241943359375,1068679.0
1128.2470703125,737320.625
1141.2174072265625,540529.25
1154.3369140625,415244.4375
1167.6070556640625,331475.65625
1181.0299072265625,273538.28125
1194.6070556640625,232634.96875
1208.3402099609375,203577.953125
1222.2313232421875,183215.375
1236.2821044921875,169631.015625
1250.494384765625,161728.546875
1264.8701171875,159029.390625
1279.4110107421875,161614.078125
1294.119140625,170196.078125
1308.996337890625,186374.875
1324.0445556640625,213214.78125
1339.265869140625,256532.0
1354.6619873046875,327946.53125
1370.2352294921875,453007.6875
1385.9874267578125,696853.0
1401.9207763671875,1269121.375
1418.0372314453125,3193200.25
1434.3389892578125,21056672.0
1450.828125,55845692.0
1467.5068359375,4121126.0
1484.3773193359375,1364924.125
1501.4417724609375,669847.5625
1518.702392578125,396249.46875
1536.161376953125,261675.796875
1553.821044921875,185880.265625
1571.683837890625,139101.265625
1589.7518310546875,108262.4140625
1608.0277099609375,86896.171875
1626.5135498046875,71510.1796875
1645.2119140625,60086.2265625
1664.1253662109375,51393.3046875
1683.256103515625,44646.87890625
1702.6068115234375,39328.58984375
1722.1800537109375,35085.60546875
1741.9781494140625,31671.8984375
1762.0040283203125,28912.71484375
1782.260009765625,26682.40234375
1802.7489013671875,24890.328125
1823.4732666015625,23471.818359375
1844.4359130859375,22382.47265625
1865.6395263671875,21594.87890625
1887.0869140625,21097.279296875
1908.7808837890625,20894.15625
1930.7242431640625,21009.140625
1952.9197998046875,21491.333984375
1975.37060546875,22427.345703125
1998.0794677734375,23963.900390625
2021.0494384765625,26351.705078125
2044.283447265625,30035.5390625
2067.784423828125,35854.98828125
2091.5556640625,45542.6171875
2115.600341796875,63155.83984375
2139.921142578125,100155.21875
2164.521728515625,200531.09375
2189.405029296875,679145.4375
2214.574462890625,62392404.0
2240.033203125,1020628.125
2265.78466796875,229159.28125
2291.832275390625,102714.5546875
2318.17919921875,61357.64453125
2344.828857421875,43329.109375
2371.78515625,34283.3984375
2399.051025390625,29505.2265625
2426.630615234375,27112.5546875
2454.527099609375,26275.96484375
2482.744384765625,26638.220703125
2511.2861328125,28104.25
2540.15576171875,30775.7578125
2569.357421875,34967.75390625
2598.894775390625,41310.1640625
2628.771728515625,51000.56640625
2658.991943359375,66413.453125
2689.559814453125,92713.390625
2720.47900390625,142878.515625
2751.753662109375,257771.453125
2783.3876953125,628716.8125
2815.3857421875,3627488.25
2847.751220703125,18399154.0
2880.489013671875,988134.0
2913.603271484375,314642.625
2947.097900390625,154197.546875
2980.977783203125,93506.78125
3015.2470703125,65446.390625
3049.910400390625,51862.23046875
3084.97216796875,47050.01171875
3120.43701171875,50927.05078125
3156.3095703125,71641.6328125
3192.594482421875,158885.734375
3229.296630859375,1267237.375
3266.420654296875,1254891.5
3303.971435546875,145095.0625
3341.953857421875,57435.58203125
3380.373046875,33998.765625
3419.233642578125,26648.4140625
3458.541259765625,36514.203125
3498.30078125,4606209024.0
3538.51708984375,30830.853515625
3579.196044921875,15459.515625
3620.34228515625,12478.1005859375
3661.9619140625,11800.22265625
3704.059814453125,12320.2958984375
3746.6416015625,14111.68359375
3789.713134765625,18028.625
3833.279541015625,26779.015625
3877.346923828125,50853.40625
3921.9208984375,163968.828125
3967.00732421875,11028769.0
4012.612060546875,267308.46875
4058.7412109375,62875.90234375
4105.400390625,35828.953125
4152.59619140625,52515.59765625
4200.33447265625,171806784.0
4248.62158203125,43525.515625
4297.4638671875,20008.359375
4346.8671875,22267.177734375
4396.8388671875,134588.71875
4447.384765625,67852.3203125
4498.51220703125,45039.35546875
4550.22705078125,400564.59375
4602.53662109375,180244.390625
4655.447265625,29120.29296875
4708.96630859375,14035.5244140625
4763.1005859375,9981.6669921875
4817.85693359375,8783.453125
4873.2431640625,8927.080078125
4929.26611328125,10194.0673828125
4985.93310546875,13029.314453125
5043.2509765625,18986.306640625
5101.228515625,33319.00390625
5159.8720703125,82032.25
5219.18994140625,566247.8125
5279.18994140625,1462959.0
5339.87939453125,105952.3203125
5401.2666015625,36953.83203125
5463.35986328125,21458.458984375
5526.16650390625,24848.859375
5589.6953125,3345651.0
5653.95458984375,29105.263671875
5718.95263671875,4077437.75
5784.697265625,15545.0771484375
5851.1982421875,6321.41552734375
5918.4638671875,4154.998046875
5986.50244140625,3234.4521484375
6055.3232421875,2752.445556640625
6124.935546875,2493.941162109375
6195.34765625,2390.83740234375
6266.5693359375,2441.487060546875
6338.60986328125,2723.2861328125
6411.478515625,3598.8955078125
6485.18505859375,11440.17578125
6559.73876953125,11324.0341796875
6635.1494140625,35712.84375
6711.42724609375,432800.5
6788.58154296875,14933.6962890625
