Frequency (Hz),Strain Energy (J)
100.0,588.3594360351562
101.14959716796875,588.3917846679688
102.31241607666016,588.4248657226562
103.48860168457031,588.4586791992188
104.67830657958984,588.4933471679688
105.8816909790039,588.5287475585938
107.09890747070312,588.5650024414062
108.33011627197266,588.6021118164062
109.57547760009766,588.6400756835938
110.83515930175781,588.678955078125
112.10931396484375,588.7186889648438
113.39812469482422,588.7593383789062
114.70175170898438,588.8009643554688
116.0203628540039,588.8435668945312
117.35413360595703,588.8871459960938
118.70323944091797,588.9317016601562
120.0678482055664,588.9773559570312
121.44815063476562,589.0240478515625
122.84432220458984,589.07177734375
124.25653839111328,589.1206665039062
125.68498992919922,589.1707153320312
127.12986755371094,589.221923828125
128.5913543701172,589.2742919921875
130.06964111328125,589.327880859375
131.56491088867188,589.3827514648438
133.077392578125,589.4388427734375
134.6072540283203,589.4962768554688
136.15469360351562,589.5550537109375
137.7199249267578,589.6151733398438
139.30316162109375,589.6767578125
140.9045867919922,589.73974609375
142.52442932128906,589.8041381835938
144.1628875732422,589.8701171875
145.82017517089844,589.9376220703125
147.4965362548828,590.0066528320312
149.19215393066406,590.0773315429688
150.9072723388672,590.149658203125
152.64208984375,590.2236938476562
154.39686584472656,590.2994384765625
156.17181396484375,590.3768920898438
157.9671630859375,590.4562377929688
159.7831573486328,590.5374145507812
161.62002563476562,590.6204833984375
163.47801208496094,590.7055053710938
165.35736083984375,590.79248046875
167.25830078125,590.8815307617188
169.1811065673828,590.97265625
171.12600708007812,591.06591796875
173.09327697753906,591.1613159179688
175.08316040039062,591.259033203125
177.09591674804688,591.3589477539062
179.13180541992188,591.4612426757812
181.1911163330078,591.5659790039062
183.27407836914062,591.673095703125
185.38099670410156,591.7827758789062
187.51214599609375,591.89501953125
189.66778564453125,592.0098876953125
191.84820556640625,592.12744140625
194.05369567871094,592.247802734375
196.28453063964844,592.3709106445312
198.541015625,592.4970092773438
200.82345581054688,592.6259765625
203.13211059570312,592.758056640625
205.4673309326172,592.8931884765625
207.82937622070312,593.0315551757812
210.2185821533203,593.1731567382812
212.63525390625,593.3180541992188
215.0797119140625,593.4664306640625
217.55227661132812,593.6182250976562
220.05325317382812,593.773681640625
222.58297729492188,593.9327392578125
225.1417999267578,594.0955810546875
227.7300262451172,594.2623291015625
230.34800720214844,594.4329223632812
232.99609375,594.6076049804688
235.67462158203125,594.786376953125
238.38394165039062,594.9694213867188
241.12440490722656,595.1567993164062
243.8963623046875,595.3486328125
246.7001953125,595.5449829101562
249.53627014160156,595.7459716796875
252.40493774414062,595.9517822265625
255.30657958984375,596.1624145507812
258.2415771484375,596.3781127929688
261.2103271484375,596.5989379882812
264.21319580078125,596.824951171875
267.2506103515625,597.056396484375
270.3229064941406,597.2933959960938
273.4305419921875,597.5360107421875
276.57391357421875,597.7843627929688
279.7533874511719,598.0386962890625
282.9694519042969,598.2991333007812
286.22247314453125,598.5657348632812
289.51287841796875,598.8387451171875
292.84112548828125,599.1182861328125
296.2076110839844,599.404541015625
299.6128234863281,599.6976928710938
303.05718994140625,599.9978637695312
306.5411376953125,600.3052368164062
310.06512451171875,600.6199951171875
313.629638671875,600.9423217773438
317.235107421875,601.2724609375
320.8820495605469,601.6105346679688
324.5709228515625,601.9567260742188
328.30218505859375,602.3113403320312
332.07635498046875,602.6744995117188
335.8938903808594,603.0465087890625
339.7553405761719,603.427490234375
343.6611633300781,603.8177490234375
347.61187744140625,604.2174682617188
