Frequency (Hz),Strain Energy (J)
100.0,163.9519805908203
101.14959716796875,163.9565887451172
102.31241607666016,163.96128845214844
103.48860168457031,163.96609497070312
104.67830657958984,163.9710235595703
105.8816909790039,163.97605895996094
107.09890747070312,163.981201171875
108.33011627197266,163.98648071289062
109.57547760009766,163.9918670654297
110.83515930175781,163.9973907470703
112.10931396484375,164.00303649902344
113.39812469482422,164.00881958007812
114.70175170898438,164.0147247314453
116.0203628540039,164.02078247070312
117.35413360595703,164.0269775390625
118.70323944091797,164.03330993652344
120.0678482055664,164.03977966308594
121.44815063476562,164.04641723632812
122.84432220458984,164.05320739746094
124.25653839111328,164.06015014648438
125.68498992919922,164.06724548339844
127.12986755371094,164.0745086669922
128.5913543701172,164.0819549560547
130.06964111328125,164.08956909179688
131.56491088867188,164.09735107421875
133.077392578125,164.10531616210938
134.6072540283203,164.11346435546875
136.15469360351562,164.12181091308594
137.7199249267578,164.13034057617188
139.30316162109375,164.13906860351562
140.9045867919922,164.14801025390625
142.52442932128906,164.1571502685547
144.1628875732422,164.16650390625
145.82017517089844,164.17608642578125
147.4965362548828,164.18588256835938
149.19215393066406,164.19590759277344
150.9072723388672,164.20616149902344
152.64208984375,164.21664428710938
154.39686584472656,164.22738647460938
156.17181396484375,164.23837280273438
157.9671630859375,164.24961853027344
159.7831573486328,164.26112365722656
161.62002563476562,164.2729034423828
163.47801208496094,164.28494262695312
165.35736083984375,164.29727172851562
167.25830078125,164.3098907470703
169.1811065673828,164.32278442382812
171.12600708007812,164.33599853515625
173.09327697753906,164.34951782226562
175.08316040039062,164.36334228515625
177.09591674804688,164.3774871826172
179.13180541992188,164.3919677734375
181.1911163330078,164.4067840576172
183.27407836914062,164.4219512939453
185.38099670410156,164.43746948242188
187.51214599609375,164.45335388183594
189.66778564453125,164.46958923339844
191.84820556640625,164.48622131347656
194.05369567871094,164.50323486328125
196.28453063964844,164.52064514160156
198.541015625,164.53846740722656
200.82345581054688,164.55670166015625
